quest_id,achivement_id,question_text_es,answer_formula_es,question_text_en,answer_formula_en
quest_quantity,natural_operations,¿Cuanto es ${2d} + ${2d} ?,${0} + ${1},,
quest_quantity,natural_operations,¿Cuanto es ${2d} + ${2d} + ${2d} ?,${0} + ${1} + ${2},,
quest_quantity,natural_operations,Si tengo ${3d} dolares y se me caen ${2d} ¿Cuantos dolares me quedan?,${0} - ${1},,
quest_quantity,natural_operations,Si tengo ${3d} soles y presto ${2d} y ${2d} a mis amigos. ¿Cuantos soles me quedan?,${0} - ${1} - ${2},,
quest_quantity,natural_operations,Si ${1d} amigos me pagan ${2d} soles cada uno. ¿Cuanto tengo en total?,${0} * ${1},,
quest_quantity,natural_operations,¿Cuanto es ${1d} * ${1d} * ${2d} ?,${0} * ${1} * ${2},,
quest_quantity,natural_operations,¿Cuanto es ${1d} * ${1d} + ${2d} ?,${0} * ${1} * ${2},,
quest_quantity,natural_operations,Tenemos ${3d} soles y lo quiero dividir en ${1d} personas. ¿Aproximadamente cuánto recibiría cada una?,${0} / ${1},,
quest_quantity,natural_operations,"Inicialmente tengo ${3d} soles y regalo ${2d}. Luego, consigo ${2d} soles. ¿Cuanto tendría al final?",${0} - ${1} + ${2},,
quest_quantity,fraction_operations,¿Cuanto es ${1d} / ${1d} + ${1d} / ${1d} ?,${0} / ${1} + ${2} / ${3},,
quest_quantity,fraction_operations,¿Cuanto es ${1d} / ${1d} + ${1d} / ${1d} ?,${0} / ${1} - ${2} / ${3},,
quest_quantity,fraction_operations,¿Cuanto es ${1d} / ${1d} * ${1d} / ${1d} ?,${0} / ${1} * ${2} / ${3},,
quest_quantity,fraction_operations,¿Cuanto es ${1d} / ${1d} + ${1d} / ${1d} + ${1d} / ${1d} ?,${0} / ${1} + ${2} / ${3} + ${4} / ${5},,
quest_quantity,fraction_operations,¿Cuanto es ${1d} / ${1d} - ${1d} / ${1d} + ${1d} / ${1d} ?,${0} / ${1} - ${2} / ${3} + ${4} / ${5},,
quest_quantity,digit_recognizing,¿Cual es las decenas en ${1d} ${1d} ${1d} ${1d} ${1d} ?,${3},,
quest_quantity,digit_recognizing,¿Cual es las centenas en ${1d} ${1d} ${1d} ${1d} ${1d} ?,${2},,
quest_quantity,digit_recognizing,¿Cual es los millares en ${1d} ${1d} ${1d} ${1d} ${1d} ?,${1},,
